order_id,customer_id,product_id,product_name,category,region,order_date,quantity,unit_price,discount_pct,total_amount,cost,profit,payment_method,status
ORD00001,CUST0362,PROD015,Sport T-Shirt,Clothing,West,2022-07-29,5,37.58,15.0,159.7,60,99.7,Cash,Cancelled
ORD00002,CUST0481,PROD045,Leadership Principles,Books,South,2024-03-07,2,32.07,20.0,51.31,16,35.31,PayPal,Shipped
ORD00003,CUST0447,PROD047,Machine Learning A-Z,Books,Central,2022-04-07,4,70.38,20.0,225.22,80,145.22,PayPal,Returned
ORD00004,CUST0431,PROD027,LED Desk Lamp,Home & Garden,South,2022-04-21,1,47.19,0.0,47.19,18,29.19,Cash,Cancelled
ORD00005,CUST0212,PROD023,Coffee Maker Deluxe,Home & Garden,West,2024-06-26,2,139.62,15.0,237.35,104,133.35,PayPal,Processing
ORD00006,CUST0132,PROD054,Mixed Nuts 500g,Food & Beverage,West,2023-02-07,2,23.01,0.0,46.02,16,30.02,Credit Card,Delivered
ORD00007,CUST0106,PROD053,Protein Powder Vanilla,Food & Beverage,Central,2022-12-22,5,50.81,0.0,254.06,100,154.06,Bank Transfer,Delivered
ORD00008,CUST0246,PROD023,Coffee Maker Deluxe,Home & Garden,East,2023-06-26,2,120.25,20.0,192.4,104,88.4,PayPal,Delivered
ORD00009,CUST0176,PROD055,Olive Oil Extra Virgin,Food & Beverage,West,2024-08-13,2,25.42,0.0,50.85,18,32.85,Cash,Delivered
ORD00010,CUST0009,PROD054,Mixed Nuts 500g,Food & Beverage,South,2023-09-09,4,25.39,10.0,91.41,32,59.41,PayPal,Delivered
ORD00011,CUST0474,PROD067,Steering Wheel Cover,Automotive,Central,2023-10-13,5,27.38,0.0,136.88,55,81.88,Cash,Delivered
ORD00012,CUST0399,PROD026,Plant Pot Set x3,Home & Garden,West,2024-10-31,2,38.34,10.0,69.02,28,41.02,Bank Transfer,Delivered
ORD00013,CUST0391,PROD013,Casual Sneakers,Clothing,Central,2023-03-30,2,98.1,0.0,196.21,80,116.21,PayPal,Delivered
ORD00014,CUST0402,PROD019,Running Shorts,Clothing,West,2024-12-22,4,46.17,20.0,147.75,60,87.75,Credit Card,Delivered
ORD00015,CUST0449,PROD003,Smart Watch Ultra,Electronics,North,2023-12-10,4,330.88,15.0,1124.98,560,564.98,Cash,Cancelled
ORD00016,CUST0167,PROD026,Plant Pot Set x3,Home & Garden,East,2023-05-15,1,40.42,0.0,40.42,14,26.42,Bank Transfer,Cancelled
ORD00017,CUST0202,PROD009,USB-C Hub 7-in-1,Electronics,South,2022-08-21,4,56.13,15.0,190.83,80,110.83,PayPal,Delivered
ORD00018,CUST0069,PROD062,Tire Inflator Auto,Automotive,Central,2024-11-24,3,45.13,10.0,121.85,54,67.85,Bank Transfer,Delivered
ORD00019,CUST0348,PROD008,Webcam HD 1080p,Electronics,South,2023-08-31,2,66.52,0.0,133.04,50,83.04,Credit Card,Delivered
ORD00020,CUST0319,PROD023,Coffee Maker Deluxe,Home & Garden,West,2024-12-28,1,132.27,0.0,132.27,52,80.27,Debit Card,Cancelled
ORD00021,CUST0113,PROD041,Business Analytics Guide,Books,Central,2024-05-18,1,42.35,20.0,33.88,12,21.88,Bank Transfer,Shipped
ORD00022,CUST0033,PROD045,Leadership Principles,Books,Central,2022-05-28,2,28.95,15.0,49.22,16,33.22,PayPal,Delivered
ORD00023,CUST0092,PROD043,Data Science Handbook,Books,East,2022-05-31,1,60.81,0.0,60.81,18,42.81,Cash,Delivered
ORD00024,CUST0189,PROD061,Car Dash Cam 4K,Automotive,East,2023-04-12,3,97.17,5.0,276.94,126,150.94,Bank Transfer,Delivered
ORD00025,CUST0274,PROD040,Water Bottle 1L,Sports,Central,2022-02-04,4,22.76,10.0,81.95,32,49.95,Credit Card,Shipped
ORD00026,CUST0010,PROD041,Business Analytics Guide,Books,South,2022-05-10,5,40.91,20.0,163.64,60,103.64,Credit Card,Delivered
