product_id,product_name,category,price,cost,profit_margin,stock_quantity,supplier,rating
PROD001,Laptop Pro 15,Electronics,1200,750,37.5,153,Supplier 11,3.5
PROD002,Wireless Headphones,Electronics,199,80,59.8,464,Supplier 17,4.7
PROD003,Smart Watch Ultra,Electronics,349,140,59.89,315,Supplier 19,3.8
PROD004,Bluetooth Speaker,Electronics,89,35,60.67,362,Supplier 11,4.3
PROD005,"4K Monitor 27""",Electronics,450,220,51.11,372,Supplier 20,3.6
PROD006,Gaming Mouse,Electronics,79,28,64.56,358,Supplier 08,4.2
PROD007,Mechanical Keyboard,Electronics,129,52,59.69,359,Supplier 13,3.7
PROD008,Webcam HD 1080p,Electronics,69,25,63.77,443,Supplier 18,4.8
PROD009,USB-C Hub 7-in-1,Electronics,59,20,66.1,333,Supplier 02,3.5
PROD010,External SSD 1TB,Electronics,149,65,56.38,498,Supplier 06,4.3
PROD011,Classic White Shirt,Clothing,49,15,69.39,260,Supplier 16,4.8
PROD012,Denim Jeans Slim,Clothing,79,28,64.56,58,Supplier 16,4.0
PROD013,Casual Sneakers,Clothing,95,40,57.89,189,Supplier 09,3.6
PROD014,Wool Winter Coat,Clothing,189,75,60.32,134,Supplier 18,4.5
PROD015,Sport T-Shirt,Clothing,35,12,65.71,226,Supplier 08,3.6
PROD016,Leather Belt,Clothing,45,18,60.0,247,Supplier 19,4.2
PROD017,Formal Trousers,Clothing,89,35,60.67,458,Supplier 16,4.2
PROD018,Polo Shirt Premium,Clothing,65,22,66.15,80,Supplier 16,4.6
PROD019,Running Shorts,Clothing,42,15,64.29,29,Supplier 04,4.1
PROD020,Knit Sweater,Clothing,75,30,60.0,38,Supplier 18,4.3
PROD021,Robot Vacuum Cleaner,Home & Garden,299,140,53.18,442,Supplier 03,4.7
PROD022,Air Purifier Pro,Home & Garden,249,110,55.82,336,Supplier 10,4.8
PROD023,Coffee Maker Deluxe,Home & Garden,129,52,59.69,307,Supplier 07,4.5
PROD024,Electric Kettle 1.7L,Home & Garden,49,18,63.27,253,Supplier 11,4.0
PROD025,Blender Pro 1000W,Home & Garden,89,35,60.67,47,Supplier 08,4.8
PROD026,Plant Pot Set x3,Home & Garden,39,14,64.1,189,Supplier 18,4.7
PROD027,LED Desk Lamp,Home & Garden,45,18,60.0,327,Supplier 16,4.6
